Hour,energy_consumpt_2005,energy_consumpt_2006,full_temp_2005,full_humid_2005,full_temp_2006,full_humid_2006
1,631.6231606,1246.300847,-0.4,64,7.6,82
2,534.3971036,1062.500558,-0.733333333,65.33333333,7.733333333,78.66666667
3,453.5387845,884.5868875,-1.066666667,66.66666667,7.866666667,75.33333333
4,400.699718,786.5641209,-1.4,68,8,72
5,378.1710923,742.6696145,-1.666666667,60.33333333,8.333333333,69.66666667
6,381.4146052,752.9952398,-1.933333333,52.66666667,8.666666667,67.33333333
7,419.8689667,825.3138793,-2.2,45,9,65
8,498.4758317,993.5776112,-0.666666667,40.66666667,9.4,62
9,591.4950485,1227.253515,0.866666667,36.33333333,9.8,59
10,655.7380046,1374.03085,2.4,32,10.2,56
11,690.3901069,1444.229449,4.2,27,11.06666667,53
12,700.2390682,1443.0722,6,22,11.93333333,50
13,701.3254435,1421.878892,7.8,17,12.8,47
14,695.1883902,1387.785603,7.733333333,18.66666667,12.2,55.66666667
15,679.0106883,1350.977382,7.666666667,20.33333333,11.6,64.33333333
16,674.1345643,1351.934855,7.6,22,11,73
17,713.9345428,1436.988745,6.8,27.33333333,10.73333333,75.33333333
18,769.7382941,1560.138092,6,32.66666667,10.46666667,77.66666667
19,762.6454746,1554.771402,5.2,38,10.2,80
20,752.5827524,1530.428542,5,43.33333333,10.53333333,77
21,721.7086469,1483.599317,4.8,48.66666667,10.86666667,74
22,672.4991692,1392.144733,4.6,54,11.2,71
23,611.9041266,1237.420889,4.4,58.66666667,11.8,76.66666667
24,525.4829772,1069.624736,4.2,63.33333333,12.4,82.33333333
25,437.8155307,897.721664,4,68,13,88
26,376.9645693,769.994012,3.866666667,71.33333333,11.6,87
27,345.991472,698.7175921,3.733333333,74.66666667,10.2,86
28,326.6505783,675.2203927,3.6,78,8.8,85
29,326.3634914,677.863075,3.4,79.33333333,8.666666667,84
30,350.2156743,723.303886,3.2,80.66666667,8.533333333,83
31,411.7650593,847.2777918,3,82,8.4,82
32,525.1917057,1077.51161,4.733333333,76.66666667,8.533333333,82.66666667
33,641.3298563,1348.525027,6.466666667,71.33333333,8.666666667,83.33333333
34,697.2151174,1485.122503,8.2,66,8.8,84
35,698.1645214,1500.025944,9.3,58,9.866666667,77.66666667
36,683.7345983,1493.919798,10.4,50,10.93333333,71.33333333
37,666.8483294,1492.130761,11.5,42,12,65
38,661.4380658,1493.93604,11.66666667,40.33333333,11.46666667,70.33333333
39,651.7579798,1495.569088,11.83333333,38.66666667,10.93333333,75.66666667
40,661.448971,1514.019879,12,37,10.4,81
41,714.5924385,1593.939885,10.66666667,43,9.733333333,80
42,779.9821718,1675.418591,9.333333333,49,9.066666667,79
43,781.0755773,1669.795421,8,55,8.4,78
44,770.1810177,1662.446402,7.933333333,56.33333333,8.133333333,80.33333333
45,751.3544666,1643.667195,7.866666667,57.66666667,7.866666667,82.66666667
